uid,namedLocation,date,eventID,domainID,siteID,plotID,individualID,growthForm,stemDiameter,measurementHeight,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter,recordedBy,measuredBy
2f8aa475-1117-4600-94fc-768e7356eef6,GUAN_044.basePlot.vst,2017-04-04,vst_GUAN_2017,D04,GUAN,GUAN_044,NEON.PLA.D04.GUAN.03397,multi-bole tree,15.3,130,6.0,NA,NA,NA,NA,NA,NA,NA,NA,ac35660f11cf4ac443e6c8be53fd9d4b,7fc85b9a5e2095946d672ee825424220
6d22f2a8-461b-4fbc-963a-8b6fbd7fce65,GUAN_044.basePlot.vst,2017-04-04,vst_GUAN_2017,D04,GUAN,GUAN_044,NEON.PLA.D04.GUAN.03482,multi-bole tree,31.3,130,4.8,NA,NA,NA,NA,NA,NA,NA,NA,ac35660f11cf4ac443e6c8be53fd9d4b,7fc85b9a5e2095946d672ee825424220
00fd9b4a-eaff-4214-9bee-87e680ad291e,GUAN_044.basePlot.vst,2017-04-04,vst_GUAN_2017,D04,GUAN,GUAN_044,NEON.PLA.D04.GUAN.03400D,multi-bole tree,10.7,130,9.4,NA,NA,NA,NA,NA,NA,NA,NA,ac35660f11cf4ac443e6c8be53fd9d4b,7fc85b9a5e2095946d672ee825424220
5aea1f64-154a-406e-bbd9-cd91da14d8f8,GUAN_044.basePlot.vst,2017-04-04,vst_GUAN_2017,D04,GUAN,GUAN_044,NEON.PLA.D04.GUAN.03485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ac35660f11cf4ac443e6c8be53fd9d4b,7fc85b9a5e2095946d672ee825424220
21ef4ef7-2601-4591-9723-30a7e978054e,GUAN_044.basePlot.vst,2017-04-04,vst_GUAN_2017,D04,GUAN,GUAN_044,NEON.PLA.D04.GUAN.02632A,multi-bole tree,18.7,130,5.6,NA,NA,NA,NA,NA,NA,NA,NA,ac35660f11cf4ac443e6c8be53fd9d4b,7fc85b9a5e2095946d672ee825424220
71b4b474-ae35-4cf2-b204-69e6fa9404a6,GUAN_044.basePlot.vst,2017-04-04,vst_GUAN_2017,D04,GUAN,GUAN_044,NEON.PLA.D04.GUAN.03699B,multi-bole tree,13.7,130,9.4,NA,NA,NA,NA,NA,NA,NA,NA,ac35660f11cf4ac443e6c8be53fd9d4b,7fc85b9a5e2095946d672ee825424220
3a1307cb-00c4-45ea-9d0d-fc664ac6dfa0,GUAN_044.basePlot.vst,2017-04-04,vst_GUAN_2017,D04,GUAN,GUAN_044,NEON.PLA.D04.GUAN.03398,single bole tree,38.0,130,4.3,NA,NA,NA,NA,NA,NA,NA,NA,ac35660f11cf4ac443e6c8be53fd9d4b,7fc85b9a5e2095946d672ee825424220
0994c58e-8d07-4498-9fe0-8ec9effe2e7e,GUAN_044.basePlot.vst,2017-04-04,vst_GUAN_2017,D04,GUAN,GUAN_044,NEON.PLA.D04.GUAN.03483,single bole tree,18.5,130,4.5,NA,NA,NA,NA,NA,NA,NA,NA,ac35660f11cf4ac443e6c8be53fd9d4b,7fc85b9a5e2095946d672ee825424220
7b8c2a61-c58e-4eda-a10f-6897546efb64,GUAN_044.basePlot.vst,2017-04-04,vst_GUAN_2017,D04,GUAN,GUAN_044,NEON.PLA.D04.GUAN.03389,multi-bole tree,25.0,130,5.8,NA,NA,NA,NA,NA,NA,NA,NA,ac35660f11cf4ac443e6c8be53fd9d4b,7fc85b9a5e2095946d672ee825424220
41646301-3a26-4526-9a6a-e0ce97abeaaa,GUAN_044.basePlot.vst,2017-04-04,vst_GUAN_2017,D04,GUAN,GUAN_044,NEON.PLA.D04.GUAN.02608A,multi-bole tree,15.2,130,4.4,NA,NA,NA,NA,NA,NA,NA,NA,ac35660f11cf4ac443e6c8be53fd9d4b,7fc85b9a5e2095946d672ee825424220
63bae9fd-a36c-4d65-b788-9b36b56bc02b,GUAN_044.basePlot.vst,2017-04-04,vst_GUAN_2017,D04,GUAN,GUAN_044,NEON.PLA.D04.GUAN.03699,multi-bole tree,15.5,130,9.4,NA,NA,NA,NA,NA,NA,NA,NA,ac35660f11cf4ac443e6c8be53fd9d4b,7fc85b9a5e2095946d672ee825424220
4e574168-ef34-4d73-b479-1a85b145e2b5,GUAN_044.basePlot.vst,2017-04-04,vst_GUAN_2017,D04,GUAN,GUAN_044,NEON.PLA.D04.GUAN.03699A,multi-bole tree,15.4,130,9.4,NA,NA,NA,NA,NA,NA,NA,NA,ac35660f11cf4ac443e6c8be53fd9d4b,7fc85b9a5e2095946d672ee825424220
39927383-2f34-4e98-a320-d841e6157932,GUAN_044.basePlot.vst,2017-04-04,vst_GUAN_2017,D04,GUAN,GUAN_044,NEON.PLA.D04.GUAN.03397B,multi-bole tree,14.0,130,6.0,NA,NA,NA,NA,NA,NA,NA,NA,ac35660f11cf4ac443e6c8be53fd9d4b,7fc85b9a5e2095946d672ee825424220
0f470200-58ce-4f84-93b9-d54d7f65d21c,GUAN_044.basePlot.vst,2017-04-04,vst_GUAN_2017,D04,GUAN,GUAN_044,NEON.PLA.D04.GUAN.02632F,multi-bole tree,12.5,130,5.6,NA,NA,NA,NA,NA,NA,NA,NA,ac35660f11cf4ac443e6c8be53fd9d4b,7fc85b9a5e2095946d672ee825424220
e9c33d9e-b205-4e5f-ac87-3ee50654eab0,GUAN_044.basePlot.vst,2017-04-04,vst_GUAN_2017,D04,GUAN,GUAN_044,NEON.PLA.D04.GUAN.03400,multi-bole tree,14.4,130,9.4,NA,NA,NA,NA,NA,NA,NA,NA,ac35660f11cf4ac443e6c8be53fd9d4b,7fc85b9a5e2095946d672ee825424220
9484e0f6-f873-456c-9b32-f9ff1753fbf1,GUAN_044.basePlot.vst,2017-04-04,vst_GUAN_2017,D04,GUAN,GUAN_044,NEON.PLA.D04.GUAN.02608,multi-bole tree,15.4,130,4.4,NA,NA,NA,NA,NA,NA,NA,NA,ac35660f11cf4ac443e6c8be53fd9d4b,7fc85b9a5e2095946d672ee825424220
890e61f4-182a-4b13-80b0-ffc91e48a3e1,GUAN_044.basePlot.vst,2017-04-04,vst_GUAN_2017,D04,GUAN,GUAN_044,NEON.PLA.D04.GUAN.03482E,multi-bole tree,14.0,130,4.8,NA,NA,NA,NA,NA,NA,NA,NA,ac35660f11cf4ac443e6c8be53fd9d4b,7fc85b9a5e2095946d672ee825424220
8b6ec595-193e-4bd5-ae67-8874bc9fae6f,GUAN_044.basePlot.vst,2017-04-04,vst_GUAN_2017,D04,GUAN,GUAN_044,NEON.PLA.D04.GUAN.02631,single bole tree,28.0,130,5.3,NA,NA,NA,NA,NA,NA,NA,NA,ac35660f11cf4ac443e6c8be53fd9d4b,7fc85b9a5e2095946d672ee825424220
a4d844cd-e0c2-454f-b1b8-dbfa7e6f7051,GUAN_044.basePlot.vst,2017-04-04,vst_GUAN_2017,D04,GUAN,GUAN_044,NEON.PLA.D04.GUAN.02632C,multi-bole tree,15.9,130,5.6,NA,NA,NA,NA,NA,NA,NA,NA,ac35660f11cf4ac443e6c8be53fd9d4b,7fc85b9a5e2095946d672ee825424220
6136afbd-8a0c-4d6b-b6cc-b8238f4fd3c0,GUAN_044.basePlot.vst,2017-04-04,vst_GUAN_2017,D04,GUAN,GUAN_044,NEON.PLA.D04.GUAN.03482B,multi-bole tree,12.4,130,4.8,NA,NA,NA,NA,NA,NA,NA,NA,ac35660f11cf4ac443e6c8be53fd9d4b,7fc85b9a5e2095946d672ee825424220
1946a7e6-a256-4011-81f9-5d92f552cadf,GUAN_044.basePlot.vst,2017-04-04,vst_GUAN_2017,D04,GUAN,GUAN_044,NEON.PLA.D04.GUAN.03482D,multi-bole tree,15.5,130,4.8,NA,NA,NA,NA,NA,NA,NA,NA,ac35660f11cf4ac443e6c8be53fd9d4b,7fc85b9a5e2095946d672ee825424220
f66f201d-e42c-420e-b645-67851c4e1ded,GUAN_044.basePlot.vst,2017-04-04,vst_GUAN_2017,D04,GUAN,GUAN_044,NEON.PLA.D04.GUAN.02608B,multi-bole tree,15.3,130,4.4,NA,NA,NA,NA,NA,NA,NA,NA,ac35660f11cf4ac443e6c8be53fd9d4b,7fc85b9a5e2095946d672ee825424220
44b8a28b-ba1d-473c-b0f8-842283fa5220,GUAN_044.basePlot.vst,2017-04-04,vst_GUAN_2017,D04,GUAN,GUAN_044,NEON.PLA.D04.GUAN.03393,single bole tree,12.6,130,6.2,NA,NA,NA,NA,NA,NA,NA,NA,ac35660f11cf4ac443e6c8be53fd9d4b,7fc85b9a5e2095946d672ee825424220
2aaf417d-5c0e-4d0c-be1e-8cf053cae7bb,GUAN_044.basePlot.vst,2017-04-04,vst_GUAN_2017,D04,GUAN,GUAN_044,NEON.PLA.D04.GUAN.03400C,multi-bole tree,12.1,130,9.4,NA,NA,NA,NA,NA,NA,NA,NA,ac35660f11cf4ac443e6c8be53fd9d4b,7fc85b9a5e2095946d672ee825424220
a4125ce0-64cc-4d72-8195-69dff543558a,GUAN_044.basePlot.vst,2017-04-04,vst_GUAN_2017,D04,GUAN,GUAN_044,NEON.PLA.D04.GUAN.03394,single bole tree,18.4,130,4.7,NA,NA,NA,NA,NA,NA,NA,NA,ac35660f11cf4ac443e6c8be53fd9d4b,7fc85b9a5e2095946d672ee825424220
ed20824b-a1f3-4bd7-8852-b6453aaf85b3,GUAN_044.basePlot.vst,2017-04-04,vst_GUAN_2017,D04,GUAN,GUAN_044,NEON.PLA.D04.GUAN.03397A,multi-bole tree,15.5,130,6.0,NA,NA,NA,NA,NA,NA,NA,NA,ac35660f11cf4ac443e6c8be53fd9d4b,7fc85b9a5e2095946d672ee825424220
18f4fdac-3dbf-4c24-ae4f-f02f473641eb,GUAN_044.basePlot.vst,2017-04-04,vst_GUAN_2017,D04,GUAN,GUAN_044,NEON.PLA.D04.GUAN.03391,multi-bole tree,12.2,130,6.6,NA,NA,NA,NA,NA,NA,NA,NA,ac35660f11cf4ac443e6c8be53fd9d4b,7fc85b9a5e2095946d672ee825424220
1ecfabd2-c868-4d91-aa8b-8a0b0eb329e3,GUAN_044.basePlot.vst,2017-04-04,vst_GUAN_2017,D04,GUAN,GUAN_044,NEON.PLA.D04.GUAN.03487,single bole tree,21.5,130,6.8,NA,NA,NA,NA,NA,NA,NA,NA,ac35660f11cf4ac443e6c8be53fd9d4b,7fc85b9a5e2095946d672ee825424220
fbbb0dfc-48ba-4595-aadd-8859c47b909c,GUAN_044.basePlot.vst,2017-04-04,vst_GUAN_2017,D04,GUAN,GUAN_044,NEON.PLA.D04.GUAN.03390B,multi-bole tree,16.0,130,4.9,NA,NA,NA,NA,NA,NA,NA,NA,ac35660f11cf4ac443e6c8be53fd9d4b,7fc85b9a5e2095946d672ee825424220
437dbd5a-dae2-4c06-928c-2194347f1f84,GUAN_045.basePlot.vst,2017-04-06,vst_GUAN_2017,D04,GUAN,GUAN_045,NEON.PLA.D04.GUAN.03691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fc593d341960c78e5227ed90bba1ee3f,034344d59e564f8e301b815da0fa9345
3e32a9c8-ac4c-488a-9632-8e1fdcbd4be4,GUAN_045.basePlot.vst,2017-04-06,vst_GUAN_2017,D04,GUAN,GUAN_045,NEON.PLA.D04.GUAN.03697D,multi-bole tree,6.5,130,5.1,NA,NA,NA,NA,NA,NA,NA,NA,fc593d341960c78e5227ed90bba1ee3f,034344d59e564f8e301b815da0fa9345
dcf8eae1-2364-4ea3-a66c-44d333b665c5,GUAN_045.basePlot.vst,2017-04-06,vst_GUAN_2017,D04,GUAN,GUAN_045,NEON.PLA.D04.GUAN.03695,single bole tree,19.1,130,6.7,NA,NA,NA,NA,NA,NA,NA,NA,fc593d341960c78e5227ed90bba1ee3f,034344d59e564f8e301b815da0fa9345
4e4b0f3e-893f-4d20-8998-48aef35dbcdc,GUAN_045.basePlot.vst,2017-04-06,vst_GUAN_2017,D04,GUAN,GUAN_045,NEON.PLA.D04.GUAN.03666A,multi-bole tree,7.1,130,8.1,NA,NA,NA,NA,NA,NA,NA,NA,fc593d341960c78e5227ed90bba1ee3f,034344d59e564f8e301b815da0fa9345
de5c9f7d-96bd-4748-80e2-b4bb3cb007f4,GUAN_045.basePlot.vst,2017-04-06,vst_GUAN_2017,D04,GUAN,GUAN_045,NEON.PLA.D04.GUAN.03690F,multi-bole tree,7.1,130,8.1,NA,NA,NA,NA,NA,NA,NA,NA,fc593d341960c78e5227ed90bba1ee3f,034344d59e564f8e301b815da0fa9345
9715c91a-0a5e-4f69-80a9-1b3fb4364348,GUAN_045.basePlot.vst,2017-04-06,vst_GUAN_2017,D04,GUAN,GUAN_045,NEON.PLA.D04.GUAN.03668,multi-bole tree,13.0,130,9.1,NA,NA,NA,NA,NA,NA,NA,NA,fc593d341960c78e5227ed90bba1ee3f,034344d59e564f8e301b815da0fa9345
b1dec8ca-fe38-4c3b-88eb-826813ed2ca4,GUAN_045.basePlot.vst,2017-04-06,vst_GUAN_2017,D04,GUAN,GUAN_045,NEON.PLA.D04.GUAN.03697B,multi-bole tree,13.1,130,5.1,NA,NA,NA,NA,NA,NA,NA,NA,fc593d341960c78e5227ed90bba1ee3f,034344d59e564f8e301b815da0fa9345
3afb3b91-c35d-43ee-b8e9-3c4a20994ba3,GUAN_045.basePlot.vst,2017-04-06,vst_GUAN_2017,D04,GUAN,GUAN_045,NEON.PLA.D04.GUAN.03690B,multi-bole tree,11.1,130,8.1,NA,NA,NA,NA,NA,NA,NA,NA,fc593d341960c78e5227ed90bba1ee3f,034344d59e564f8e301b815da0fa9345
ed889826-6ebb-45df-af3a-a998de6829ef,GUAN_045.basePlot.vst,2017-04-06,vst_GUAN_2017,D04,GUAN,GUAN_045,NEON.PLA.D04.GUAN.03687D,multi-bole tree,5.4,140,8.7,NA,NA,NA,NA,NA,NA,NA,NA,fc593d341960c78e5227ed90bba1ee3f,034344d59e564f8e301b815da0fa9345
d0bfd6ba-f04a-4780-8e78-affde15f34d8,GUAN_045.basePlot.vst,2017-04-06,vst_GUAN_2017,D04,GUAN,GUAN_045,NEON.PLA.D04.GUAN.03666,multi-bole tree,11.6,130,8.1,NA,NA,NA,NA,NA,NA,NA,NA,fc593d341960c78e5227ed90bba1ee3f,034344d59e564f8e301b815da0fa9345
8da3b04b-1f2f-4422-921d-1d2cc6ec9868,GUAN_045.basePlot.vst,2017-04-06,vst_GUAN_2017,D04,GUAN,GUAN_045,NEON.PLA.D04.GUAN.03668B,multi-bole tree,8.5,130,9.1,NA,NA,NA,NA,NA,NA,NA,NA,fc593d341960c78e5227ed90bba1ee3f,034344d59e564f8e301b815da0fa9345
e6f1c58e-ffe6-4c2e-af48-e1976dd106fc,GUAN_045.basePlot.vst,2017-04-06,vst_GUAN_2017,D04,GUAN,GUAN_045,NEON.PLA.D04.GUAN.03679B,multi-bole tree,15.2,130,9.7,NA,NA,NA,NA,NA,NA,NA,NA,fc593d341960c78e5227ed90bba1ee3f,034344d59e564f8e301b815da0fa9345
12faff21-ae3b-4156-8b94-251b3832e602,GUAN_045.basePlot.vst,2017-04-06,vst_GUAN_2017,D04,GUAN,GUAN_045,NEON.PLA.D04.GUAN.03697,multi-bole tree,14.1,130,5.1,NA,NA,NA,NA,NA,NA,NA,NA,fc593d341960c78e5227ed90bba1ee3f,034344d59e564f8e301b815da0fa9345
90e25440-9e40-4be0-a763-507bf2fbc716,GUAN_045.basePlot.vst,2017-04-06,vst_GUAN_2017,D04,GUAN,GUAN_045,NEON.PLA.D04.GUAN.03682,multi-bole tree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fc593d341960c78e5227ed90bba1ee3f,034344d59e564f8e301b815da0fa9345
fee8e0b6-8b78-4267-8b56-bdca0bc4c346,GUAN_045.basePlot.vst,2017-04-06,vst_GUAN_2017,D04,GUAN,GUAN_045,NEON.PLA.D04.GUAN.03689B,multi-bole tree,6.0,130,7.5,NA,NA,NA,NA,NA,NA,NA,NA,fc593d341960c78e5227ed90bba1ee3f,034344d59e564f8e301b815da0fa9345
298d9430-b33a-444c-9a9b-c6812856ec83,GUAN_045.basePlot.vst,2017-04-06,vst_GUAN_2017,D04,GUAN,GUAN_045,NEON.PLA.D04.GUAN.03681B,multi-bole tree,28.8,130,8.8,NA,NA,NA,NA,NA,NA,NA,NA,fc593d341960c78e5227ed90bba1ee3f,034344d59e564f8e301b815da0fa9345
2687571e-9a74-40d6-8685-e3a4710510c1,GUAN_045.basePlot.vst,2017-04-06,vst_GUAN_2017,D04,GUAN,GUAN_045,NEON.PLA.D04.GUAN.03690E,multi-bole tree,8.2,130,8.1,NA,NA,NA,NA,NA,NA,NA,NA,fc593d341960c78e5227ed90bba1ee3f,034344d59e564f8e301b815da0fa9345
f6edb75d-3bc4-4f01-bb1c-8f67bd1711b7,GUAN_045.basePlot.vst,2017-04-06,vst_GUAN_2017,D04,GUAN,GUAN_045,NEON.PLA.D04.GUAN.03681A,multi-bole tree,38.2,130,8.8,NA,NA,NA,NA,NA,NA,NA,NA,fc593d341960c78e5227ed90bba1ee3f,034344d59e564f8e301b815da0fa9345
b2ce85e0-9559-4d01-af3f-8c063b00e233,GUAN_045.basePlot.vst,2017-04-06,vst_GUAN_2017,D04,GUAN,GUAN_045,NEON.PLA.D04.GUAN.03691B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fc593d341960c78e5227ed90bba1ee3f,034344d59e564f8e301b815da0fa9345
6b2c6ed6-8a64-48ec-a861-b19c46985ab7,GUAN_045.basePlot.vst,2017-04-06,vst_GUAN_2017,D04,GUAN,GUAN_045,NEON.PLA.D04.GUAN.03687,multi-bole tree,13.2,160,8.7,NA,NA,NA,NA,NA,NA,NA,NA,fc593d341960c78e5227ed90bba1ee3f,034344d59e564f8e301b815da0fa9345
1ccac81e-4c3f-45cb-9a64-83543fee58b0,GUAN_045.basePlot.vst,2017-04-06,vst_GUAN_2017,D04,GUAN,GUAN_045,NEON.PLA.D04.GUAN.03691E,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fc593d341960c78e5227ed90bba1ee3f,034344d59e564f8e301b815da0fa9345
278e2585-7dd4-4aa4-828d-1a7288b19a79,GUAN_045.basePlot.vst,2017-04-06,vst_GUAN_2017,D04,GUAN,GUAN_045,NEON.PLA.D04.GUAN.09466,single bole tree,10.8,130,4.5,NA,NA,NA,NA,NA,NA,NA,NA,fc593d341960c78e5227ed90bba1ee3f,034344d59e564f8e301b815da0fa9345
a8cd64e1-ddbc-4cd1-ab1e-d8b1c1147b19,GUAN_045.basePlot.vst,2017-04-06,vst_GUAN_2017,D04,GUAN,GUAN_045,NEON.PLA.D04.GUAN.03678A,multi-bole tree,6.8,130,9.5,NA,NA,NA,NA,NA,NA,NA,NA,fc593d341960c78e5227ed90bba1ee3f,034344d59e564f8e301b815da0fa9345
cda32902-964e-49a3-92d0-7ccc2113fd6d,GUAN_045.basePlot.vst,2017-04-06,vst_GUAN_2017,D04,GUAN,GUAN_045,NEON.PLA.D04.GUAN.03700,single bole tree,12.2,130,5.3,NA,NA,NA,NA,NA,NA,NA,NA,fc593d341960c78e5227ed90bba1ee3f,034344d59e564f8e301b815da0fa9345
c04e344f-7a48-4cad-b4fd-a1f9665e5094,GUAN_045.basePlot.vst,2017-04-06,vst_GUAN_2017,D04,GUAN,GUAN_045,NEON.PLA.D04.GUAN.03691F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fc593d341960c78e5227ed90bba1ee3f,034344d59e564f8e301b815da0fa9345
f2d6d565-00d2-4054-8406-e0e897659fdc,GUAN_045.basePlot.vst,2017-04-06,vst_GUAN_2017,D04,GUAN,GUAN_045,NEON.PLA.D04.GUAN.03668A,multi-bole tree,11.3,130,9.1,NA,NA,NA,NA,NA,NA,NA,NA,fc593d341960c78e5227ed90bba1ee3f,034344d59e564f8e301b815da0fa9345
60ca53a4-2e77-4a61-8e11-a01cb468d644,GUAN_045.basePlot.vst,2017-04-06,vst_GUAN_2017,D04,GUAN,GUAN_045,NEON.PLA.D04.GUAN.03692,single bole tree,14.5,130,6.0,NA,NA,NA,NA,NA,NA,NA,NA,fc593d341960c78e5227ed90bba1ee3f,034344d59e564f8e301b815da0fa9345
4d0c6ebf-5301-4172-af1c-6a74a588e57e,GUAN_045.basePlot.vst,2017-04-06,vst_GUAN_2017,D04,GUAN,GUAN_045,NEON.PLA.D04.GUAN.03697A,multi-bole tree,13.5,130,5.1,NA,NA,NA,NA,NA,NA,NA,NA,fc593d341960c78e5227ed90bba1ee3f,034344d59e564f8e301b815da0fa9345
bde284c7-859d-40cf-9006-791e1687fd55,GUAN_045.basePlot.vst,2017-04-06,vst_GUAN_2017,D04,GUAN,GUAN_045,NEON.PLA.D04.GUAN.03679,multi-bole tree,16.0,130,9.7,NA,NA,NA,NA,NA,NA,NA,NA,fc593d341960c78e5227ed90bba1ee3f,034344d59e564f8e301b815da0fa9345
9cc0fc49-980c-4c96-8fb9-f6a9dcd88d9c,GUAN_045.basePlot.vst,2017-04-06,vst_GUAN_2017,D04,GUAN,GUAN_045,NEON.PLA.D04.GUAN.03690C,multi-bole tree,10.8,130,8.1,NA,NA,NA,NA,NA,NA,NA,NA,fc593d341960c78e5227ed90bba1ee3f,034344d59e564f8e301b815da0fa9345
3d70874e-e986-4619-882d-a874dab18d1f,GUAN_045.basePlot.vst,2017-04-06,vst_GUAN_2017,D04,GUAN,GUAN_045,NEON.PLA.D04.GUAN.03687A,multi-bole tree,10.2,160,8.7,NA,NA,NA,NA,NA,NA,NA,NA,fc593d341960c78e5227ed90bba1ee3f,034344d59e564f8e301b815da0fa9345
ce03e02a-9b56-44b1-998e-2ded655d4acd,GUAN_045.basePlot.vst,2017-04-06,vst_GUAN_2017,D04,GUAN,GUAN_045,NEON.PLA.D04.GUAN.03668C,multi-bole tree,6.5,130,9.1,NA,NA,NA,NA,NA,NA,NA,NA,fc593d341960c78e5227ed90bba1ee3f,034344d59e564f8e301b815da0fa9345
b6741b51-9a9f-4b9a-bc92-f760df6c2d92,GUAN_045.basePlot.vst,2017-04-06,vst_GUAN_2017,D04,GUAN,GUAN_045,NEON.PLA.D04.GUAN.03693,single bole tree,10.4,130,5.7,NA,NA,NA,NA,NA,NA,NA,NA,fc593d341960c78e5227ed90bba1ee3f,034344d59e564f8e301b815da0fa9345
e7780698-ece0-4533-9708-17dcf45fde0f,GUAN_045.basePlot.vst,2017-04-06,vst_GUAN_2017,D04,GUAN,GUAN_045,NEON.PLA.D04.GUAN.03679A,multi-bole tree,14.7,130,9.7,NA,NA,NA,NA,NA,NA,NA,NA,fc593d341960c78e5227ed90bba1ee3f,034344d59e564f8e301b815da0fa9345
da96303f-1489-4e27-919f-6e70e169a9e8,GUAN_045.basePlot.vst,2017-04-06,vst_GUAN_2017,D04,GUAN,GUAN_045,NEON.PLA.D04.GUAN.03691H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fc593d341960c78e5227ed90bba1ee3f,034344d59e564f8e301b815da0fa9345
0e8e35f0-5d30-461b-91b9-1a1bc84ba476,GUAN_045.basePlot.vst,2017-04-06,vst_GUAN_2017,D04,GUAN,GUAN_045,NEON.PLA.D04.GUAN.03681,multi-bole tree,34.2,130,8.8,NA,NA,NA,NA,NA,NA,NA,NA,fc593d341960c78e5227ed90bba1ee3f,034344d59e564f8e301b815da0fa9345
f53cca1a-354e-4afa-bf31-031164bb8c20,GUAN_045.basePlot.vst,2017-04-06,vst_GUAN_2017,D04,GUAN,GUAN_045,NEON.PLA.D04.GUAN.03684,single bole tree,10.6,130,7.4,NA,NA,NA,NA,NA,NA,NA,NA,fc593d341960c78e5227ed90bba1ee3f,034344d59e564f8e301b815da0fa9345
e23485fa-64aa-4184-a48c-04179047e900,GUAN_042.basePlot.vst,2017-04-07,vst_GUAN_2017,D04,GUAN,GUAN_042,NEON.PLA.D04.GUAN.05262,single bole tree,12.2,130,7.8,NA,NA,NA,NA,NA,NA,NA,NA,fc593d341960c78e5227ed90bba1ee3f,7fc85b9a5e2095946d672ee825424220
a4af10ff-8492-4925-9c33-0a2b7406b0e5,GUAN_042.basePlot.vst,2017-04-10,vst_GUAN_2017,D04,GUAN,GUAN_042,NEON.PLA.D04.GUAN.02999A,multi-bole tree,9.5,130,2.8,NA,NA,NA,NA,NA,NA,NA,NA,2cb3ffa52fa206c04af8395dde7221e0,7fc85b9a5e2095946d672ee825424220
e728da39-74b3-4d4d-81ff-4f62583de565,GUAN_042.basePlot.vst,2017-04-10,vst_GUAN_2017,D04,GUAN,GUAN_042,NEON.PLA.D04.GUAN.02690,multi-bole tree,10.9,130,4.9,NA,NA,NA,NA,NA,NA,NA,NA,2cb3ffa52fa206c04af8395dde7221e0,7fc85b9a5e2095946d672ee825424220
271ed87e-8b59-4f91-9c6c-4ceabca0c47d,GUAN_042.basePlot.vst,2017-04-10,vst_GUAN_2017,D04,GUAN,GUAN_042,NEON.PLA.D04.GUAN.02692,single bole tree,24.7,130,5.5,NA,NA,NA,NA,NA,NA,NA,NA,2cb3ffa52fa206c04af8395dde7221e0,7fc85b9a5e2095946d672ee825424220
8a2de0d7-0d5f-42c1-90ab-00269e886e03,GUAN_042.basePlot.vst,2017-04-10,vst_GUAN_2017,D04,GUAN,GUAN_042,NEON.PLA.D04.GUAN.02998,multi-bole tree,13.7,130,4.5,NA,NA,NA,NA,NA,NA,NA,NA,2cb3ffa52fa206c04af8395dde7221e0,7fc85b9a5e2095946d672ee825424220
bb93f32c-ffd0-4c57-9e0f-b47dd2683fec,GUAN_042.basePlot.vst,2017-04-10,vst_GUAN_2017,D04,GUAN,GUAN_042,NEON.PLA.D04.GUAN.02983A,multi-bole tree,10.8,130,3.9,NA,NA,NA,NA,NA,NA,NA,NA,2cb3ffa52fa206c04af8395dde7221e0,7fc85b9a5e2095946d672ee825424220
